sepal.length,petal.length,variety
0.22222222222222213,0.06779661016949151,Setosa
0.1666666666666668,0.06779661016949151,Setosa
0.11111111111111119,0.05084745762711865,Setosa
0.08333333333333327,0.0847457627118644,Setosa
0.19444444444444448,0.06779661016949151,Setosa
0.30555555555555564,0.11864406779661016,Setosa
0.08333333333333327,0.06779661016949151,Setosa
0.19444444444444448,0.0847457627118644,Setosa
0.027777777777777922,0.06779661016949151,Setosa
0.1666666666666668,0.0847457627118644,Setosa
0.30555555555555564,0.0847457627118644,Setosa
0.13888888888888887,0.1016949152542373,Setosa
0.13888888888888887,0.06779661016949151,Setosa
0.0,0.016949152542372895,Setosa
0.41666666666666663,0.033898305084745756,Setosa
0.38888888888888895,0.0847457627118644,Setosa
0.30555555555555564,0.05084745762711865,Setosa
0.22222222222222213,0.06779661016949151,Setosa
0.38888888888888895,0.11864406779661016,Setosa
0.22222222222222213,0.0847457627118644,Setosa
0.30555555555555564,0.11864406779661016,Setosa
0.22222222222222213,0.0847457627118644,Setosa
0.08333333333333327,0.0,Setosa
0.22222222222222213,0.11864406779661016,Setosa
0.13888888888888887,0.15254237288135591,Setosa
0.19444444444444448,0.1016949152542373,Setosa
0.19444444444444448,0.1016949152542373,Setosa
0.25000000000000006,0.0847457627118644,Setosa
0.25000000000000006,0.06779661016949151,Setosa
0.11111111111111119,0.1016949152542373,Setosa
0.13888888888888887,0.1016949152542373,Setosa
0.30555555555555564,0.0847457627118644,Setosa
0.25000000000000006,0.0847457627118644,Setosa
0.3333333333333333,0.06779661016949151,Setosa
0.1666666666666668,0.0847457627118644,Setosa
0.19444444444444448,0.033898305084745756,Setosa
0.3333333333333333,0.05084745762711865,Setosa
0.1666666666666668,0.06779661016949151,Setosa
0.027777777777777922,0.05084745762711865,Setosa
0.22222222222222213,0.0847457627118644,Setosa
0.19444444444444448,0.05084745762711865,Setosa
0.055555555555555594,0.05084745762711865,Setosa
0.027777777777777922,0.05084745762711865,Setosa
0.19444444444444448,0.1016949152542373,Setosa
0.22222222222222213,0.15254237288135591,Setosa
0.13888888888888887,0.06779661016949151,Setosa
0.22222222222222213,0.1016949152542373,Setosa
0.08333333333333327,0.06779661016949151,Setosa
0.27777777777777773,0.0847457627118644,Setosa
0.19444444444444448,0.06779661016949151,Setosa
0.7499999999999999,0.6271186440677966,Versicolor
0.5833333333333334,0.5932203389830508,Versicolor
0.7222222222222222,0.6610169491525424,Versicolor
0.3333333333333333,0.5084745762711864,Versicolor
0.611111111111111,0.6101694915254237,Versicolor
0.38888888888888895,0.5932203389830508,Versicolor
0.5555555555555555,0.6271186440677966,Versicolor
